id,station,date,prcp,tobs
4671,USC00513117,2015-06-04,0.27,72.0
4672,USC00513117,2015-06-05,0.0,70.0
4673,USC00513117,2015-06-06,0.0,76.0
4674,USC00513117,2015-06-07,0.0,78.0
4675,USC00513117,2015-06-08,0.1,72.0
4676,USC00513117,2015-06-09,0.05,74.0
4677,USC00513117,2015-06-10,0.07,74.0
4678,USC00513117,2015-06-11,0.1,72.0
4679,USC00513117,2015-06-12,0.0,71.0
4680,USC00513117,2015-06-13,0.0,79.0
4681,USC00513117,2015-06-14,0.07,79.0
4682,USC00513117,2015-06-15,0.0,76.0
4683,USC00513117,2015-06-16,0.14,75.0
4684,USC00513117,2015-06-17,0.25,72.0
4685,USC00513117,2015-06-18,0.14,74.0
4686,USC00513117,2015-06-19,0.02,76.0
4687,USC00513117,2015-06-20,0.04,76.0
4688,USC00513117,2015-06-21,0.01,77.0
4689,USC00513117,2015-06-22,0.01,75.0
4690,USC00513117,2015-06-23,0.03,76.0
4691,USC00513117,2015-06-24,0.14,75.0
4692,USC00513117,2015-06-25,0.2,75.0
4693,USC00513117,2015-06-26,0.1,76.0
4694,USC00513117,2015-06-27,0.06,76.0
4695,USC00513117,2015-06-29,,74.0
5008,USC00513117,2016-06-01,0.89,70.0
5009,USC00513117,2016-06-02,0.15,69.0
5010,USC00513117,2016-06-03,0.16,70.0
5011,USC00513117,2016-06-04,0.0,68.0
5012,USC00513117,2016-06-05,0.63,70.0
5013,USC00513117,2016-06-06,0.36,74.0
5014,USC00513117,2016-06-07,0.4,75.0
5015,USC00513117,2016-06-08,0.0,74.0
5016,USC00513117,2016-06-09,0.21,71.0
5017,USC00513117,2016-06-10,0.06,73.0
5018,USC00513117,2016-06-11,0.02,75.0
5019,USC00513117,2016-06-12,0.04,74.0
5020,USC00513117,2016-06-13,0.08,76.0
5021,USC00513117,2016-06-14,0.06,76.0
5022,USC00513117,2016-06-15,0.18,76.0
5023,USC00513117,2016-06-16,0.03,76.0
5024,USC00513117,2016-06-17,0.16,75.0
5025,USC00513117,2016-06-18,0.3,75.0
5026,USC00513117,2016-06-19,0.02,75.0
5027,USC00513117,2016-06-20,0.16,74.0
5028,USC00513117,2016-06-21,0.03,73.0
5029,USC00513117,2016-06-22,0.01,76.0
5030,USC00513117,2016-06-23,0.25,74.0
5031,USC00513117,2016-06-24,0.02,78.0
5032,USC00513117,2016-06-25,0.8,71.0
5033,USC00513117,2016-06-26,0.06,75.0
5034,USC00513117,2016-06-27,0.06,75.0
5035,USC00513117,2016-06-28,0.02,74.0
5036,USC00513117,2016-06-29,0.03,77.0
5037,USC00513117,2016-06-30,0.0,77.0
5373,USC00513117,2017-06-01,0.03,76.0
5374,USC00513117,2017-06-02,0.1,76.0
5375,USC00513117,2017-06-03,0.2,76.0
5376,USC00513117,2017-06-04,0.15,78.0
5377,USC00513117,2017-06-05,0.0,76.0
5378,USC00513117,2017-06-06,0.0,75.0
5379,USC00513117,2017-06-07,0.0,75.0
5380,USC00513117,2017-06-08,0.02,76.0
5381,USC00513117,2017-06-09,0.02,78.0
5382,USC00513117,2017-06-10,0.21,75.0
5383,USC00513117,2017-06-11,0.24,73.0
5384,USC00513117,2017-06-12,0.19,76.0
5385,USC00513117,2017-06-13,0.36,76.0
5386,USC00513117,2017-06-14,0.27,76.0
5387,USC00513117,2017-06-15,0.17,77.0
5388,USC00513117,2017-06-16,0.02,76.0
5389,USC00513117,2017-06-17,0.35,77.0
5390,USC00513117,2017-06-18,0.25,72.0
5391,USC00513117,2017-06-19,0.05,77.0
5392,USC00513117,2017-06-20,0.05,75.0
5393,USC00513117,2017-06-21,0.02,82.0
5394,USC00513117,2017-06-22,0.1,77.0
5395,USC00513117,2017-06-23,0.0,76.0
5396,USC00513117,2017-06-24,0.0,74.0
5397,USC00513117,2017-06-25,0.08,73.0
5398,USC00513117,2017-06-26,0.02,77.0
5399,USC00513117,2017-06-27,0.0,77.0
5400,USC00513117,2017-06-28,0.01,77.0
5401,USC00513117,2017-06-29,0.03,76.0
5402,USC00513117,2017-06-30,0.04,74.0
5519,USC00514830,2010-06-01,0.01,73.0
5520,USC00514830,2010-06-02,0.0,72.0
5521,USC00514830,2010-06-03,0.0,74.0
5522,USC00514830,2010-06-04,0.0,73.0
5523,USC00514830,2010-06-05,0.0,72.0
5524,USC00514830,2010-06-06,0.0,75.0
5525,USC00514830,2010-06-07,0.09,74.0
5526,USC00514830,2010-06-08,0.0,75.0
5527,USC00514830,2010-06-09,0.0,73.0
5528,USC00514830,2010-06-10,0.0,75.0
5529,USC00514830,2010-06-11,0.0,76.0
5530,USC00514830,2010-06-12,0.03,74.0
5531,USC00514830,2010-06-13,0.0,74.0
5532,USC00514830,2010-06-14,0.06,73.0
5533,USC00514830,2010-06-15,0.03,73.0
5534,USC00514830,2010-06-16,0.0,76.0
5535,USC00514830,2010-06-17,0.0,75.0
5536,USC00514830,2010-06-18,0.03,70.0
5537,USC00514830,2010-06-19,0.04,75.0
5538,USC00514830,2010-06-20,0.0,73.0
5539,USC00514830,2010-06-21,0.0,74.0
5540,USC00514830,2010-06-22,0.0,74.0
5541,USC00514830,2010-06-23,0.0,74.0
5542,USC00514830,2010-06-24,0.05,74.0
5543,USC00514830,2010-06-25,0.12,70.0
5544,USC00514830,2010-06-27,,75.0
5545,USC00514830,2010-06-28,0.18,74.0
5546,USC00514830,2010-06-29,0.06,73.0
5547,USC00514830,2010-06-30,0.03,74.0
5846,USC00514830,2011-06-01,0.19,72.0
5847,USC00514830,2011-06-02,0.04,73.0
5848,USC00514830,2011-06-03,1.75,67.0
5849,USC00514830,2011-06-04,1.14,69.0
5850,USC00514830,2011-06-05,3.6,76.0
5851,USC00514830,2011-06-06,0.0,73.0
5852,USC00514830,2011-06-07,0.05,70.0
5853,USC00514830,2011-06-08,0.17,72.0
5854,USC00514830,2011-06-09,0.0,74.0
5855,USC00514830,2011-06-10,0.02,72.0
5856,USC00514830,2011-06-13,,72.0
5857,USC00514830,2011-06-14,0.02,75.0
5858,USC00514830,2011-06-15,0.0,73.0
5859,USC00514830,2011-06-16,0.13,73.0
5860,USC00514830,2011-06-17,0.0,72.0
5861,USC00514830,2011-06-18,0.0,74.0
5862,USC00514830,2011-06-19,0.12,76.0
5863,USC00514830,2011-06-21,,72.0
5864,USC00514830,2011-06-22,0.2,74.0
5865,USC00514830,2011-06-23,0.09,70.0
5866,USC00514830,2011-06-24,0.17,74.0
5867,USC00514830,2011-06-25,0.03,74.0
5868,USC00514830,2011-06-27,,74.0
5869,USC00514830,2011-06-28,0.12,71.0
6108,USC00514830,2012-06-21,0.08,75.0
6109,USC00514830,2012-06-22,0.01,75.0
6110,USC00514830,2012-06-24,,76.0
6111,USC00514830,2012-06-25,0.12,77.0
6112,USC00514830,2012-06-26,0.03,75.0
6113,USC00514830,2012-06-27,0.2,74.0
6114,USC00514830,2012-06-28,0.0,75.0
6115,USC00514830,2012-06-29,0.23,76.0
6116,USC00514830,2012-06-30,0.02,78.0
6377,USC00514830,2013-06-03,,78.0
6378,USC00514830,2013-06-04,0.0,76.0
6379,USC00514830,2013-06-05,0.0,78.0
6380,USC00514830,2013-06-06,0.0,76.0
6381,USC00514830,2013-06-07,0.01,76.0
6382,USC00514830,2013-06-08,0.0,78.0
6383,USC00514830,2013-06-09,0.01,79.0
6384,USC00514830,2013-06-10,0.0,77.0
6385,USC00514830,2013-06-11,0.0,76.0
6386,USC00514830,2013-06-12,0.04,77.0
6387,USC00514830,2013-06-13,0.08,77.0
6388,USC00514830,2013-06-14,0.03,76.0
6389,USC00514830,2013-06-16,,78.0
6390,USC00514830,2013-06-17,0.04,76.0
6391,USC00514830,2013-06-18,0.04,76.0
6392,USC00514830,2013-06-19,0.08,77.0
